,City,Country,Date,Latitude,Longitude,Maximum Temperature,Wind Speed,Humidity,Cloudiness
0,port elizabeth,ZA,1605238282,-33.92,25.57,62.6,9.17,93,0
1,mahebourg,MU,1605238282,-20.41,57.7,73.4,3.36,88,40
2,sao paulo de olivenca,BR,1605238283,-3.38,-68.87,73.53,3.0,98,94
3,ribeira grande,PT,1605238283,38.52,-28.7,63.93,5.75,84,40
4,airai,TL,1605238283,-8.93,125.41,82.94,4.25,37,87
5,rikitea,PF,1605238283,-23.12,-134.97,74.59,16.87,76,64
6,guacimo,CR,1605238284,10.21,-83.68,71.6,1.12,94,90
7,leopold,AU,1605238284,-38.18,144.47,66.2,17.22,63,90
8,port alfred,ZA,1605238284,-33.59,26.89,65.28,20.74,83,0
9,samarai,PG,1605238275,-10.62,150.67,80.96,13.47,69,1
10,vaini,TO,1605238285,-21.2,-175.2,82.4,10.29,78,20
11,tuktoyaktuk,CA,1605238285,69.45,-133.04,3.2,9.17,84,90
12,carnarvon,AU,1605238285,-24.87,113.63,73.4,14.99,56,0
13,butaritari,KI,1605238286,3.07,172.79,81.48,11.63,73,75
14,kolyvan,RU,1605238286,55.31,82.74,24.8,15.66,79,90
15,ornskoldsvik,SE,1605238286,63.29,18.72,37.4,2.24,93,100
16,albany,US,1605238023,42.6,-73.97,39.99,4.32,70,100
17,takoradi,GH,1605238287,4.88,-1.76,78.19,4.21,86,0
18,gwanda,ZW,1605238287,-20.93,29.0,62.76,12.01,76,13
19,hofn,IS,1605238287,64.25,-15.21,42.31,11.61,83,32
20,kodiak,US,1605238287,57.79,-152.41,39.2,19.46,51,1
21,arraial do cabo,BR,1605238165,-22.97,-42.03,72.03,12.46,95,100
22,codrington,AU,1605238288,-38.27,141.97,60.58,12.77,77,96
23,kushiro,JP,1605238288,42.98,144.37,48.2,9.17,76,75
24,mar del plata,AR,1605238288,-38.0,-57.56,64.99,6.93,82,0
25,mataura,NZ,1605238288,-46.19,168.86,75.34,9.93,22,0
26,soe,ID,1605238288,-9.86,124.28,92.59,10.33,25,2
27,rudnogorsk,RU,1605238289,57.26,103.75,26.67,3.04,97,100
28,atuona,PF,1605238289,-9.8,-139.03,78.15,12.46,73,33
29,santiago de cao,PE,1605238289,-7.96,-79.24,61.77,11.27,92,49
30,bhatkal,IN,1605238289,13.97,74.57,83.88,6.62,67,64
31,nikolskoye,RU,1605238289,59.7,30.79,37.99,2.24,86,75
32,ushuaia,AR,1605238064,-54.8,-68.3,53.6,16.11,34,40
33,giyon,ET,1605238290,8.53,37.98,53.47,10.83,62,0
34,klaksvik,FO,1605238277,62.23,-6.59,46.4,16.11,87,100
35,laguna,US,1605238280,38.42,-121.42,50.0,2.28,65,1
36,ozernovskiy,RU,1605238290,51.5,156.52,38.46,6.35,89,99
37,yining,CN,1605238291,29.04,114.56,71.73,5.95,36,0
